Balangir,Kacherpalli(Deogaon),8.06,630.0,300,219,176,44,27,38,0.8,214,53,32,1.66,0,91.80872414397264,3
Bargarh,Shukutapali,7.19,1860.0,971,598,158,121,72,149,12.0,193,409,114,0.28,0,34.29414996191598,1
Cuttack,Fakirpur,6.92,510.0,248,164,211,24,25,43,0.1,258,27,2,0.16,0,10.474937255464727,0
Kendujhar,Ukunta,7.26,1025.0,82,45,25,8,6,12,1.5,30,36,4,0.1,0,8.952149815863505,0
Kalahandi,Sargigora,7.92,1150.0,586,345,280,30,66,104,1.8,342,177,40,1.6,0,92.1643082024027,3
Sonepur,S.ptarapali,8.0,810.0,420,265,119,52,33,55,13.0,146,126,70,0.47,0,44.94248026522675,1
Gajapati,Lilygada,7.92,520.0,237,167,141,36,18,26,1.9,172,60,10,0.7,1,45.08999055187736,1
Nayagarh,Ranpur,8.06,610.0,286,231,208,37,34,23,1.1,254,57,10,0.5,0,37.726510489595604,1
Ganjam,Chamkahandi,7.98,240.0,127,81,86,18,9,12,6.9,105,27,3,0.15,1,21.868148801987676,0
Ganjam,Hinjlikatu,8.3,830.0,445,198,229,47,20,95,4.3,279,104,39,0.47,0,40.34212511148531,1
Sundargarh,Bihabandh,8.18,440.0,207,197,195,42,22,3,2.7,238,12,7,0.59,1,43.1161283387919,1
Cuttack,Buxi bazar,7.32,200.0,100,75,72,20,6,9,3.2,88,15,4,0.29,1,19.97671800580644,0
Ganjam,Kanakia,8.11,1200.0,602,315,238,49,47,103,1.7,290,194,65,0.34,0,33.182799718198,1
Sonepur,Mahadevpali,8.33,500.0,255,120,193,42,4,48,5.0,197,30,10,0.46,1,38.70860431585035,1
Koraput,Chingudichuan,7.71,100.0,46,41,45,10,4,2,1.1,55,3,0,0.09,1,11.690254833246865,0
Jharsuguda,Bhalupatra,7.6,270.0,140,114,130,38,5,13,3.9,152,7,1,0.29,1,23.360046272591074,0
Bargarh,Malada,8.24,1450.0,735,483,351,128,40,99,0.7,429,202,55,0.27,0,31.899480367406866,1
Bargarh,Puturipali,7.71,330.0,171,108,109,31,7,21,8.0,133,21,18,0.41,1,32.994817826439295,1
Mayurbhanj,Nuagaon,8.14,420.0,218,168,157,30,23,20,3.4,192,41,16,0.26,1,27.527952785993232,1
Khordha,B-06 Purnama Gate,7.79,420.0,210,144,134,20,23,25,5.5,164,33,23,0.11,1,18.802015071142556,0
Mayurbhanj,Chandanpur,8.24,160.0,78,74,55,22,5,1,0.1,67,14,3,0.18,1,20.024733206584706,0
Ganjam,Rambha,8.27,665.0,378,254,205,85,10,38,14.5,250,92,16,0.22,0,35.52715002107288,1
Khordha,B-47 Ghatikia,7.0,220.0,119,54,50,12,6,23,2.1,61,28,18,0.08,1,6.44975176741881,0
Koraput,Sunki 1,6.95,310.0,153,134,148,38,10,5,4.0,181,7,0,0.22,1,15.159789081559264,0
Kandhamal,Sankarakhol,8.04,530.0,277,158,216,29,21,28,32.0,259,35,4,0.19,0,44.52592255766171,1
Kendrapara,Raj nagar,7.26,810.0,411,245,226,56,26,57,25.9,275,67,45,0.05,0,28.271226673708885,1
Cuttack,Kasarda,7.38,1440.0,727,383,403,66,53,101,36.5,492,181,49,0.05,0,40.520340820220454,1
Sonepur,Danipali,8.41,1140.0,605,229,412,67,15,125,30.0,432,81,41,0.65,0,69.50616692381526,2
Angul,Barhabahal,8.22,2210.0,1134,550,750,40,109,251,4.1,915,223,58,2.91,0,164.20500873625846,3
Kendujhar,Rugudi,7.92,360.0,199,165,127,40,16,4,9.8,155,41,12,0.27,1,30.395178612824257,1
Kalahandi,Malgaon,8.08,600.0,279,250,265,32,41,20,2.8,323,20,5,1.53,0,88.2620003187114,3
Sonepur,Sarasmal,7.36,470.0,236,134,190,40,8,35,4.9,232,19,14,0.47,1,31.26481252213077,1
Nayagarh,"Nuabausabati(upar
Bausabati)",7.94,1050.0,523,409,178,61,63,51,3.7,217,183,55,0.42,0,38.02815076350625,1
Nayagarh,Rangamatia,7.95,1510.0,752,510,162,95,67,100,2.4,197,364,84,1.28,0,79.35113112822418,3
Jagatsinghpur,Bhutmundi,7.9,3140.0,1586,547,604,117,62,400,73.5,737,468,101,0.21,0,84.15481559885616,3
Sambalpur,Badarama,7.97,660.0,334,237,189,54,25,35,11.3,231,60,34,0.43,1,40.93917865867794,1
Sundargarh,R-31 Sector-14,8.2,170.0,89,69,71,22,3,5,3.7,87,10,2,0.3,1,27.92235899073218,1
Dhenkanal,Deogaon,8.23,450.0,231,175,205,38,19,20,3.9,250,20,7,0.99,0,63.07191028982075,2
Mayurbhanj,Champrai,8.3,290.0,152,108,82,27,10,14,4.2,100,41,7,0.09,1,20.02531594459857,0
Jajpur,Arakhpur,7.58,730.0,379,187,188,36,23,67,1.1,230,89,49,0.3,1,23.70504874501023,0
Angul,Sipur,8.25,390.0,191,150,145,34,16,16,5.7,177,30,3,0.31,1,31.93163510546489,1
Gajapati,Kantragada,6.95,380.0,183,141,97,38,11,17,4.6,118,39,15,0.27,1,17.994900858397894,0
Balasore,Kupari,8.54,350.0,214,163,157,44,13,23,3.2,157,29,11,0.35,0,34.4389683969072,1
Bargarh,Nrusinghanath,7.95,910.0,418,360,262,45,61,34,2.8,320,93,26,0.34,0,33.15256000817441,1
Kalahandi,Bawanipatna,7.42,740.0,387,320,105,78,30,20,1.3,128,157,38,0.09,0,13.719946733307351,0
Mayurbhanj,Kuliana,7.52,210.0,133,69,57,22,4,20,5.0,70,48,0,0.11,1,14.402726015482127,0
Puri,Baleswarpatna,7.52,590.0,306,181,109,54,12,38,4.0,134,55,77,0.15,1,17.424616944859817,0
Sambalpur,Jhankarbahli,8.2,850.0,416,228,307,28,39,92,1.3,375,43,29,1.2,0,72.88594496935588,2
Ganjam,Hummuri,8.63,1700.0,893,386,438,59,58,145,79.0,534,209,82,0.25,0,92.3720006810121,3
Kalahandi,Golamunda,8.44,1460.0,760,185,430,40,21,245,6.1,525,92,39,1.7,0,102.08253951271124,3
